formula,chemsys,ehull
Ir5Mo2Ru1,Ir-Mo-Ru,-0.0398382162499996
Be8Co1V3,Be-Co-V,-0.024702627499999564
Ag4O16Te4,Ag-O-Te,-0.023101837500000548
Nb1Te8Zr5,Nb-Te-Zr,-0.019986102857150287
Ge1Lu12Tc3,Ge-Lu-Tc,-0.03300599999999995
Pd1Rh2Se6,Pd-Rh-Se,0.02248300000000012
Cu1Sn4Tc1,Cu-Sn-Tc,-0.0288
Er20Ir4Si12,Er-Ir-Si,0.0030928255555505574
As2F14Ni2,As-F-Ni,0.0018430000000001917
K1O8Ta5,K-O-Ta,0.26083437785713925
La4Li4S8,La-Li-S,-0.011728000000000084
O18Ta4Yb8,O-Ta-Yb,-0.29775290400000065
CrGa3O6,Cr-Ga-O,-0.009379999999999738
CsDy3S5,Cs-Dy-S,-0.03237999999999978
La2PtI2,I-La-Pt,-0.005399999999999723
LuH2Br,Br-H-Lu,-0.04920199999999939
Tb4OsCl4,Cl-Os-Tb,-0.06389300000000044
Tm5GeSe4,Ge-Se-Tm,-0.07340100000000015
UBr5Cl,Br-Cl-U,-0.18453200000000086
Y3CI5,C-I-Y,-0.025119000000000658
Al4Ga4N4V12,Al-Ga-N-V,-0.005500581250000131
Ir8N4Si4Zr12,Ir-N-Si-Zr,-0.028029024999999742
Ag1I1La10Pb6,Ag-I-La-Pb,-0.010592926111110236
Dy2F2O12Sb4,Dy-F-O-Sb,-0.026519761499999937
Br3Hg6Li3O6,Br-Hg-Li-O,-0.08549397833333987
C2Dy2I2Pr2,C-Dy-I-Pr,-0.017659272500000364
Br18C4Dy10Rb1,Br-C-Dy-Rb,0.01611724181818015
Ce1N2Np1Sb1,Ce-N-Np-Sb,-0.13536684999999016
F24Li2Na6Pd4,F-Li-Na-Pd,-0.003123618333340214
Ba2Li2O6Y2,Ba-Li-O-Y,-0.01790100000000014
Ag2As1Na1S4,Ag-As-Na-S,-0.0037763449999999657
As4Co4O16Rb4,As-Co-O-Rb,-0.21143199999999995
Cu4K4Mn2S8,Cu-K-Mn-S,-0.03510099999999944
Gd4In6O18Pr2,Gd-In-O-Pr,-0.007167000000000704
Li1O8Tc3Yb1,Li-O-Tc-Yb,-0.04559700000000047
Dy5O12Re1Ru1,Dy-O-Re-Ru,-0.04139599999999921
Li12Nb3O16Ta1,Li-Nb-O-Ta,-0.00931500000000013
BaLiTbSe3,Ba-Li-Se-Tb,-0.01882200000000041
RbLi4NbO5,Li-Nb-O-Rb,-0.06628800000000012
TbHoP2S2,Ho-P-S-Tb,-0.06829899999999986
Fe4IrO18Sr6W1,Fe-Ir-O-Sr-W,-0.005552000000000572
Cd4Ge4O28Sb4Tl4,Cd-Ge-O-Sb-Tl,0.0489779999999995
Er1Sc12Se1Si15Sm7,Er-Sc-Se-Si-Sm,0.02476499999999983
Co14Ir3Mg6P12W1,Co-Ir-Mg-P-W,0.033536999999999866
Dy1Lu2O18Te3Tl3,Dy-Lu-O-Te-Tl,0.055102000000000005
N2Si6Ta3Ti1Zr6,N-Si-Ta-Ti-Zr,-0.0419
Er1Ir6Mn6P7Y1,Er-Ir-Mn-P-Y,-0.06359000000000022
Ag2Ir4O14Pr1Y1,Ag-Ir-O-Pr-Y,-0.06840599999999995
