formula,ref_energy_eV,min_final_log_eV,delta_eV
Ag20Cs12O16,-3.6637884775797525,-3.606297,0.05749147757975237
Al2O12Sc6,-8.66498031616211,-8.66498,3.161621098257683e-07
Al4Mo6N12,-8.967240073464133,-8.751402,0.2158380734641323
Al4O10Rb8,-5.4209653680974785,-5.420933,3.2368097478752134e-05
Al4O16Rb20,-4.4572502136230465,-4.457262,-1.178637695353757e-05
As2Bi6O14,-5.923968922008168,-5.918492,0.0054769220081682946
As2Ca4N6,-6.221173604329427,-6.221173,6.043294265012378e-07
As2Li14N8,-4.761809666951497,-4.76181,-3.3304850255433394e-07
As3FeO9,-6.122812711275541,-6.076847,0.04596571127554139
As3O9Sc,-6.6110698993389425,-6.587479,0.023590899338942428
As4Hf4O18,-7.979456974909856,-7.973244,0.0062129749098556175
As4Li16N12,-5.075290679931641,-5.064384,0.010906679931640184
As4O18Sn4,-6.0989239032451925,-6.043312,0.05561190324519227
Au4Hg2O8,-3.9852842603410994,-3.925999,0.05928526034109938
Au6F14O2,-3.383252577348189,-3.350889,0.032363577348188954
Au8O16Pd4,-4.683119637625558,-4.550801,0.1323186376255583
Ba10N10P2,-5.829845081676137,-5.789228,0.04061708167613709
Ba12N4Te6,-4.603469155051491,-4.5401,0.06336915505149143
Ba2O14Se4,-5.538162612915039,-5.543666,-0.005503387084960565
Ba2O8Rb12,-3.7030823447487573,-3.706108,-0.0030256552512426538
Ba2O8Sn6,-5.922867298126221,-5.890455,0.032412298126220485
Ba4Be4O8,-6.536376953125,-6.548423,-0.01204604687499966
Ba4Ge10N16,-6.577861531575521,-6.525022,0.052839531575521015
Ba4O10Se2,-5.904830455780029,-5.907352,-0.0025215442199710836
Ba4O20Pb8,-5.638674736022949,-5.656743,-0.018068263977050414
Ba4O6Tl4,-5.030942099434989,-5.010482,0.020460099434989054
Ba6O14Pb4,-5.846319834391276,-5.846314,5.8343912767711e-06
Ba8Fe4O14,-6.314598083496094,-6.336157,-0.02155891650390629
Ba8N12P4,-6.529755274454753,-6.577943,-0.04818772554524742
Ba8O14W2,-6.713265101114909,-6.71461,-0.0013448988850912613
Be4K12O10,-4.639013143686148,-4.645059,-0.006045856313852127
Be4Li8O8,-5.702667236328125,-5.70773,-0.005062763671874748
Be4Na12O10,-4.847385113055889,-4.849126,-0.0017408869441108976
Be6O10Rb8,-5.2879892985026045,-5.287996,-6.701497395233957e-06
Be8Cs8O12,-5.50951167515346,-5.523501,-0.013989324846540363
Bi2O18Sb6,-6.008431067833533,-5.958351,0.050080067833532915
Bi2O18Ta6,-9.028861412635216,-9.019662,0.00919941263521551
Bi4O14Pb4,-5.5682830810546875,-5.519777,0.04850608105468712
Bi4O14Pd4,-5.621165882457387,-5.580657,0.040508882457386264
Br12Mn8O2,-5.130503567782315,-5.200515,-0.0700114322176848
Br16Co12O4,-3.9207756519317627,-4.053027,-0.13225134806823746
Br16Fe12O4,-4.525123596191406,-4.636134,-0.11101040380859395
Br4O28Ta12,-9.176884044300426,-9.113272,0.06361204430042555
Br8K12O2,-3.2208515514026987,-3.220849,2.551402698891536e-06
Br8OTa2,-4.992879694158381,-4.992778,0.00010169415838046092
Br8O2S2,-2.113255818684896,-2.881477,-0.7682211813151039
Br8O8Sn12,-4.683448246547154,-4.689419,-0.005970753452846367
C6La4O18,-8.11137935093471,-8.134513,-0.02313364906529003
C6O18Y4,-8.315287453787667,-8.32387,-0.008582546212332787
Ca10N10Ta2,-6.875871138139204,-6.8952,-0.019328861860795854
CaCd4O5,-4.464273071289062,-4.464275,-1.9287109376264766e-06
CaCd6O7,-4.319801330566406,-4.319801,3.305664062480673e-07
Ca2Mo8N12,-9.21521689675071,-9.20411,0.01110689675071086
Ca2O14S4,-6.296430587768555,-6.296465,-3.441223144573513e-05
Ca6O8Pd,-6.28549550374349,-6.2855,-4.496256510222452e-06
Ca6O8Pt,-6.374992879231771,-6.374981,1.1879231770706156e-05
Ca8O18Sb4,-6.423342895507813,-6.412324,0.011018895507812765
Cd2Ga8O14,-5.7126890818278,-5.712694,-4.91817220016344e-06
Cd2O14Se4,-4.938027191162109,-4.938874,-0.000846808837891011
Cd4Cs16O12,-3.465820550918579,-3.465869,-4.844908142098703e-05
Cd4O10Se2,-4.658496856689453,-4.626963,0.03153385668945319
Cd4O12Rb16,-3.5080552101135254,-3.517776,-0.009720789886474623
Cd6O7Sr,-4.261908394949777,-4.261918,-9.605050222738498e-06
Cd8Nb4O18,-6.3319452921549475,-6.312311,0.019634292154947275
Cl12La6N2,-5.716764831542969,-5.702926,0.013838831542969388
Cl12Mn8O2,-5.572506297718395,-5.529014,0.04349229771839447
Cl16Co12O4,-4.2789082527160645,-4.339325,-0.0604167472839352
Cl16Fe12O4,-4.765794277191162,-4.97365,-0.20785572280883802
Cl28N4Nb8,-5.322903442382812,-5.320766,0.002137442382812438
Cl4O28Ta12,-9.255095048384232,-9.232339,0.02275604838423284
Cl8OTa2,-5.49736196344549,-5.497433,-7.103655450979574e-05
Cl8O8Sn12,-4.842058454241071,-4.844506,-0.002447545758928804
Co2O14S4,-6.067054367065429,-6.067445,-0.000390632934570867
Co2O14Se4,-5.3367973327636715,-5.316051,0.02074633276367166
Co4Cs12O12,-4.4159554072788785,-4.471787,-0.05583159272112148
Co4Cs16O12,-4.042905807495117,-4.045508,-0.0026021925048826944
Co4Cs8O10,-4.708471818403765,-4.713665,-0.0051931815962351635
Co4O12Rb12,-4.4906736101422995,-4.509605,-0.018931389857700154
Co4O12Rb16,-4.09848165512085,-4.10006,-0.0015783448791504284
Co4O12Se2,-5.5787709554036455,-5.562096,0.016674955403645164
Co6La2O12,-6.570930480957031,-6.57093,4.809570315345013e-07
Co6Mo4O18,-6.687505449567523,-6.642771,0.044734449567522816
Co8O16Sr4,-6.0642193385532925,-6.053328,0.01089133855329294
CrGa3O6,-6.519602203369141,-6.484195,0.03540720336914127
Cr2HfO8,-7.653916792436079,-7.65392,-3.20756392113708e-06
Cr2Mg6N8,-6.70052433013916,-6.700523,1.3301391605935464e-06
Cr2N8Zn6,-5.96939754486084,-5.969398,-4.551391601381738e-07
Cr2O8Zr,-7.470550537109375,-7.470546,4.537109375313264e-06
Cr3O8Se,-6.842070897420247,-6.860704,-0.018633102579753036
Cr4Cs4O14,-6.210576837713068,-6.203429,0.007147837713068483
Cr4La8N12,-8.536872863769531,-8.547543,-0.010670136230467975
Cr4Mo6N12,-9.619008844549006,-9.68683,-0.06782115545099465
Cr4N12W6,-10.213265852494674,-10.221393,-0.00812714750532706
Cr4O16Re2,-7.569184736772017,-7.573551,-0.004366263227983502
Cr4O20Ti4,-7.6584897722516745,-7.649562,0.008927772251674071
Cr8Ge4O20,-7.40517520904541,-7.373804,0.03137120904541035
Cr8O20Te4,-6.992469310760498,-6.970232,0.02223731076049784
Cs12O10Pb4,-4.06115957406851,-4.043067,0.01809257406851028
CsNPt,-5.209554672241211,-5.209561,-6.327758788948756e-06
Cs20Ga4O16,-4.075946044921875,-4.074928,0.001018044921875294
Cs20O16Tl4,-3.7065807342529298,-3.70347,0.0031107342529299586
Cs2N2Pd,-4.74383773803711,-4.664121,0.07971673803710999
Cs2Nb6O16,-8.426857630411783,-8.426859,-1.3695882170594587e-06
Cs2O3Rb4,-3.203833474053277,-3.185143,0.01869047405327695
Cs4Ge8O18,-6.0424138387044275,-6.037953,0.004460838704427594
Cs4Hf8O18,-8.88001708984375,-8.866444,0.013573089843751163
Cs4Nb2O7,-6.735220689039964,-6.735534,-0.00031331096003661685
Cs4O14Pd6,-5.033823013305664,-4.916678,0.11714501330566396
Cs4O20W6,-6.890717569986979,-6.901012,-0.010294430013020772
Cs4O3Rb2,-3.1993306477864585,-3.198705,0.0006256477864585719
Cs5O3Rb,-3.1993081834581165,-3.199584,-0.00027581654188368887
Cs8Ga4O10,-4.741731817072088,-4.740345,0.00138681707208832
Cs8In4O10,-4.446828321977095,-4.438139,0.008689321977095155
CuO4Pd3,-5.426665306091309,-5.426665,3.060913087438166e-07
Cu2N4Re2,-8.27758502960205,-8.092922,0.18466302960205105
Cu3O4Pd,-5.222996711730957,-5.22029,0.0027067117309567124
Cu3O4Pt,-5.311065673828125,-5.31383,-0.0027643261718752754
F20O8Tl12,-4.095489120483398,-4.082011,0.01347812048339847
F24La12N4,-7.067633056640625,-7.086079,-0.01844594335937444
F8O2Tl4,-4.009581429617746,-4.014577,-0.0049955703822543995
F8O2Y4,-7.646451132638114,-7.608055,0.03839613263811348
Fe12I16O4,-4.242004871368408,-4.349838,-0.10783312863159189
Fe2O14S4,-6.211653518676758,-6.208011,0.003642518676757689
Fe4La8N12,-8.190462748209635,-8.199324,-0.008861251790365898
Fe4O12Rb16,-4.249049186706543,-4.249069,-1.981329345746019e-05
Fe6Nb4O16,-7.949557377741887,-7.935232,0.014325377741887024
Ga4O10Rb8,-4.798305164683949,-4.788217,0.010088164683948797
Ga8Mn2O14,-6.36210823059082,-6.324777,0.03733123059082022
Ge10N16Sr4,-6.582095336914063,-6.530831,0.051264336914062625
Ge2O14V4,-7.157920837402344,-7.130371,0.027549837402343513
HfO8Se2,-6.48057070645419,-6.482513,-0.001942293545809548
Hf2N8Sr8,-6.531956566704644,-6.531986,-2.9433295355651978e-05
Hf2O10Sc4,-9.486754417419434,-9.439847,0.04690741741943327
Hf4K2N6,-8.972870508829752,-9.06489,-0.0920194911702481
Hf4N12P4,-9.130442810058593,-9.115078,0.015364810058592582
Hf4O20S4,-7.839994158063616,-7.840939,-0.0009448419363833338
