formula,chemsys,ehull
La2 Ag1 Pb1 I2,Ag-I-La-Pb,0.0026358555769219194
La1 Ag1 Pb1 I6,Ag-I-La-Pb,0.02909611083333319
La1 Ag2 Pb1 I10,Ag-I-La-Pb,-0.00880601267857184
La1 Ag3 Pb3 I12,Ag-I-La-Pb,0.027581190131579003
La1 Ag2 Pb1 I8,Ag-I-La-Pb,0.01624254937499936
La2 Ag1 Pb1 I2,Ag-I-La-Pb,0.0030465222435882566
La2 Ag2 Pb1 I10,Ag-I-La-Pb,0.028948544499999063
La1 Ag1 Pb2 I8,Ag-I-La-Pb,0.025355735416666914
La1 Ag1 Pb1 I8,Ag-I-La-Pb,0.008021202499998825
La2 Ag4 Pb1 I13,Ag-I-La-Pb,0.021362937125000148
Na2 Ag1 As1 S4,Ag-As-Na-S,0.016266515520833913
Na1 Ag3 As2 S6,Ag-As-Na-S,0.027800426874999395
Na1 Ag2 As1 S4,Ag-As-Na-S,-0.0068276138541669695
Na2 Ag1 As1 S4,Ag-As-Na-S,0.016633390520834013
Na1 Ag1 As2 S4,Ag-As-Na-S,0.018067915208332508
Na2 Ag1 As1 S3,Ag-As-Na-S,0.025920312619049923
Na2 Ag4 As2 S8,Ag-As-Na-S,0.013790823645832617
Na3 Ag3 As2 S8,Ag-As-Na-S,0.023114078906250057
Na2 Ag4 As2 S8,Ag-As-Na-S,0.01329132364583252
Na1 Ag2 As1 S6,Ag-As-Na-S,0.02922720473958318
Na2 Ag1 As1 S3,Ag-As-Na-S,0.021259312619049453
Na2 Ag4 As2 S6,Ag-As-Na-S,0.024735698928569416
Na2 Ag4 As2 S7,Ag-As-Na-S,0.016345765444444993
Na4 Ag2 As2 S8,Ag-As-Na-S,0.026525453020833645
Na1 Ag3 As2 S6,Ag-As-Na-S,0.02966459354166595
Na2 Ag3 As1 S4,Ag-As-Na-S,0.025737064249999886
Na4 Ag2 As2 S8,Ag-As-Na-S,0.018452828020834033
Na2 Ag1 As1 S4,Ag-As-Na-S,0.016261015520833588
Na2 Ag2 As3 S7,Ag-As-Na-S,0.028505559970239958
Cu1 Ag1 Au1 C2 O6,Ag-Au-C-Cu-O,0.052456718863635565
Cu1 Ag2 Au1 C3 O9,Ag-Au-C-Cu-O,0.06268797156249928
Cu1 Ag2 Au1 C2 O8,Ag-Au-C-Cu-O,0.06138192678567922
Cu1 Ag2 Au1 C3 O11,Ag-Au-C-Cu-O,0.03855366138889238
Cu1 Ag2 Au1 C2 O6,Ag-Au-C-Cu-O,0.06781299958333165
Cu2 Ag1 Au2 C3 O12,Ag-Au-C-Cu-O,0.059525703900001226
Cu2 Ag1 Au1 C2 O10,Ag-Au-C-Cu-O,0.039413114531251736
Cu2 Ag3 Au1 C1 O7,Ag-Au-C-Cu-O,0.05801413964285729
Cu3 Ag2 Au1 C1 O7,Ag-Au-C-Cu-O,0.06318658892857076
Cu1 Ag1 Au1 C2 O6,Ag-Au-C-Cu-O,0.06310390068181793
Pr2 Y1 Ag1 Ir2 O12,Ag-Ir-O-Pr-Y,0.0006392241782400276
Pr1 Y1 Ag1 Ir1 O8,Ag-Ir-O-Pr-Y,-0.0032415094270827893
Pr1 Y1 Ag1 Ir1 O8,Ag-Ir-O-Pr-Y,-0.013162926093749583
Pr1 Y2 Ag1 Ir2 O12,Ag-Ir-O-Pr-Y,-0.004779296458333526
Pr1 Y1 Ag1 Ir1 O8,Ag-Ir-O-Pr-Y,-0.01496159276041542
Pr1 Y1 Ag1 Ir2 O11,Ag-Ir-O-Pr-Y,-0.009996790507813103
Pr1 Y2 Ag1 Ir1 O9,Ag-Ir-O-Pr-Y,0.019220942767856464
Pr2 Y1 Ag1 Ir2 O12,Ag-Ir-O-Pr-Y,-0.009193331377314706
Pr1 Y1 Ag2 Ir1 O8,Ag-Ir-O-Pr-Y,-0.015745699222753373
Pr1 Y1 Ag1 Ir1 O8,Ag-Ir-O-Pr-Y,-0.012534176093748961
