formula,chemsys,ehull
Li8 Sn4 N8,Li-N-Sn,0
Li8 Sn4 N8,Li-N-Sn,0.014945073
Li8 Sn4 N8,Li-N-Sn,0.009578061
Li8 Sn4 N8,Li-N-Sn,0.021861073
Li8 Sn4 N8,Li-N-Sn,0.040137338
Y6 Si12 N22,N-Si-Y,0.047281039
Y6 Si12 N22,N-Si-Y,0.057180077
Y6 Si12 N22,N-Si-Y,0.075263324
Y6 Si12 N22,N-Si-Y,0.078583578
Y6 Si12 N22,N-Si-Y,0.074943611
Rb15 W7 N19,N-Rb-W,0.03300793
Rb15 W7 N19,N-Rb-W,0.032888414
Rb15 W7 N19,N-Rb-W,0.031906267
Rb15 W7 N19,N-Rb-W,0.041855223
Na15 W7 N19,N-Na-W,0.053975885
Na15 W7 N19,N-Na-W,0.033442312
Na15 W7 N19,N-Na-W,0.062061095
Na15 W7 N19,N-Na-W,0.038129037
Sr20 Si8 N24,N-Si-Sr,0.00431328
Sr20 Si8 N24,N-Si-Sr,0.022777711
Sr10 Si4 N12,N-Si-Sr,0.017185602
Sr10 Si4 N12,N-Si-Sr,0.020259973
Sr10 Si4 N12,N-Si-Sr,0.031617941
K15 W7 N19,K-N-W,0.050589303
Na15 W7 N19,N-Na-W,0.052760942
K15 W7 N19,K-N-W,0.050271756
K15 W7 N19,K-N-W,0.036981168
K15 W7 N19,K-N-W,0.049032485
K15 W7 N19,K-N-W,0.060666164
Rb15 W7 N19,N-Rb-W,0.045998445
Y8 Se6 N4,N-Se-Y,0
Y4 Se3 N2,N-Se-Y,0.044230204
Y4 Se3 N2,N-Se-Y,0.022092151
Mg8 Re4 N12,Mg-N-Re,0.032393824
Mg2 Re1 N3,Mg-N-Re,0.075076748
Mg8 Re4 N12,Mg-N-Re,0
Mg8 Re4 N12,Mg-N-Re,0.023913174
Mg4 Re2 N6,Mg-N-Re,0.058448215
Ca6 W6 N10,Ca-N-W,0.238680563
Ca6 W6 N10,Ca-N-W,0.251311473
Ca3 W3 N5,Ca-N-W,0.245626309
Ca3 W3 N5,Ca-N-W,0.25747311
Ca6 W6 N10,Ca-N-W,0.209910693
Cs4 V4 N8,Cs-N-V,0.001862652
Rb4 Ru4 N8,N-Rb-Ru,0.043225433
Rb4 Ru4 N8,N-Rb-Ru,0.043179906
Cs6 Re4 N10,Cs-N-Re,0
Cs4 Ru4 N8,Cs-N-Ru,0.033826588
Cs15 W7 N19,Cs-N-W,0.064561541
Cs15 W7 N19,Cs-N-W,0.061596156
Cs15 W7 N19,Cs-N-W,0.064069852
Cs6 Re4 N10,Cs-N-Re,0.004572151
Cs15 W7 N19,Cs-N-W,0.06274726
Cs6 Re4 N10,Cs-N-Re,0.028022735
Cs4 Ru4 N8,Cs-N-Ru,0.045721222
Cs4 V4 N8,Cs-N-V,0
Cs4 Ru4 N8,Cs-N-Ru,0.022820593
Cs4 Ru4 N8,Cs-N-Ru,0.02210868
Rb3 Os3 N6,N-Os-Rb,0.067472422
Rb3 Os3 N6,N-Os-Rb,0.016879299
Rb3 Os3 N6,N-Os-Rb,0.040591734
Rb3 Os3 N6,N-Os-Rb,0.079664821
Rb3 Os3 N6,N-Os-Rb,0.067711121
Cs4 Os4 N8,Cs-N-Os,0
Cs2 Os2 N4,Cs-N-Os,0.020099016
Zn8 Re4 N12,N-Re-Zn,0.040077972
Zn8 Re4 N12,N-Re-Zn,0.129870033
Zn8 Re4 N12,N-Re-Zn,0.07716852
Zn8 Re4 N12,N-Re-Zn,0.131921952
Na15 Mo7 N19,Mo-N-Na,0.04132543
Na15 Mo7 N19,Mo-N-Na,0.041947785
Na15 Mo7 N19,Mo-N-Na,0.054372363
Na15 Mo7 N19,Mo-N-Na,0.030761961
Na15 Mo7 N19,Mo-N-Na,0.048276489
Sr8 Re4 N12,N-Re-Sr,0.025877532
Sr8 Re4 N12,N-Re-Sr,0
Sr8 Re4 N12,N-Re-Sr,0.014122529
Sr8 Re4 N12,N-Re-Sr,0.022614397
Sr8 Re4 N12,N-Re-Sr,0.031708208
K15 Mo7 N19,K-Mo-N,0.040211515
K15 Mo7 N19,K-Mo-N,0.053542806
Cs4 Os4 N8,Cs-N-Os,0.000111706
