formula,chemsys,ehull
Ca3 Al2 N4,Al-Ca-N,0.025939076
Ca3 Al2 N4,Al-Ca-N,0.045396616
Ca6 Al2 N6,Al-Ca-N,0.04623861
Ca6 Al2 N6,Al-Ca-N,0.052171302
Sr6 Al2 N4,Al-N-Sr,0.117212266
Li10 Bi2 N3,Bi-Li-N,0.061652178
Li4 Bi2 N2,Bi-Li-N,0.031646972
Li4 Bi2 N2,Bi-Li-N,0.022593974
Li4 Bi2 N2,Bi-Li-N,0.060436274
Li6 Bi2 N2,Bi-Li-N,0.048616405
Li7 Bi1 N2,Bi-Li-N,0.053424742
Sc6 C2 N2,C-N-Sc,-0.016119566
Sc8 C2 N2,C-N-Sc,-0.030020257
Sc8 C2 N2,C-N-Sc,-0.008446919
Y8 C2 N2,C-N-Y,0.012523518
Y8 C2 N2,C-N-Y,0.017373511
Sc6 C2 N3,C-N-Sc,0.012664079
Sc12 C2 N6,C-N-Sc,-0.021208803
Y11 C2 N7,C-N-Y,0.030029443
Sc10 C3 N2,C-N-Sc,-0.015260057
Sc8 C3 N3,C-N-Sc,0.005151488
Sc12 C3 N5,C-N-Sc,-0.013226597
Y2 C3 N6,C-N-Y,0.024434961
Sc8 C3 N1,C-N-Sc,-0.035079085
Y8 C3 N1,C-N-Y,0.001590118
Sc12 C4 N2,C-N-Sc,-0.039654421
Ca2 Fe2 N3,Ca-Fe-N,0.0068899
Ca2 Fe4 N6,Ca-Fe-N,-0.031030622
Ca2 Mo2 N4,Ca-Mo-N,-0.14277173
Ca2 Si2 N4,Ca-N-Si,0.001889837
Ca2 W2 N4,Ca-N-W,-0.296027445
Ca3 Fe2 N4,Ca-Fe-N,0.005522307
Ca3 Si3 N6,Ca-N-Si,0.001379841
Ca3 W2 N6,Ca-N-W,-0.222216158
Ca4 Fe4 N6,Ca-Fe-N,0.03285054
Ca4 Fe4 N8,Ca-Fe-N,0.002372832
Ca4 Si4 N8,Ca-N-Si,0.000175051
Ca4 Si4 N8,Ca-N-Si,0.008573774
Ca4 Si4 N8,Ca-N-Si,0.024527538
Ca6 Cr2 N8,Ca-Cr-N,-0.067823947
Ca6 Cr2 N8,Ca-Cr-N,-0.054671223
Ca6 Cr2 N8,Ca-Cr-N,-0.048177127
Ca6 Fe2 N6,Ca-Fe-N,0.006665499
Ca6 Fe2 N6,Ca-Fe-N,0.023657157
Ca6 Os2 N6,Ca-N-Os,-0.102582969
Ca6 Ru2 N6,Ca-N-Ru,-0.096659348
Ca8 Os2 N8,Ca-N-Os,-0.064823389
Ca1 Fe2 N2,Ca-Fe-N,0.015040533
Ca1 Mo1 N2,Ca-Mo-N,-0.120068767
Sc4 C1 N2,C-N-Sc,-0.000641691
Sc6 C1 N2,C-N-Sc,-0.022095118
Sc6 C1 N2,C-N-Sc,-0.008661286
Sc5 C1 N3,C-N-Sc,0.001120091
Sc5 C1 N3,C-N-Sc,0.00351579
Sc6 C1 N3,C-N-Sc,0.000705105
Sc8 C1 N3,C-N-Sc,-0.016523186
Y8 C1 N3,C-N-Y,0.025849326
Y6 C1 N4,C-N-Y,0.019343941
Y10 C1 N7,C-N-Y,0.007626203
Sc4 C1 N1,C-N-Sc,-0.033864389
Na3 Co2 N3,Co-N-Na,-0.124917688
Na5 Co3 N4,Co-N-Na,-0.122961876
Na4 Co4 N4,Co-N-Na,-0.120297482
Na4 Co4 N4,Co-N-Na,-0.121505462
Na4 Co4 N4,Co-N-Na,-0.109305232
Li2 Co6 N4,Co-Li-N,-0.001516456
Li2 Co1 N1,Co-Li-N,-0.025060537
Li4 Cr2 N4,Cr-Li-N,0.009018445
Li4 Cr2 N4,Cr-Li-N,0.01260109
Li5 Cr2 N5,Cr-Li-N,0.004521893
Li6 Cr2 N6,Cr-Li-N,-0.00019619
Li8 Cr2 N6,Cr-Li-N,-0.006213627
Na2 Cr2 N3,Cr-N-Na,-0.058989307
Na4 Cr2 N4,Cr-N-Na,-0.025609593
Na4 Cr2 N4,Cr-N-Na,0.003572837
Na5 Cr2 N5,Cr-N-Na,-0.050293716
Na5 Cr2 N5,Cr-N-Na,-0.017080151
Sr2 Cr2 N5,Cr-N-Sr,0.002885869
Na6 Cr2 N6,Cr-N-Na,-0.03025902
Li2 Fe2 N3,Fe-Li-N,-0.034978586
Li2 Fe2 N3,Fe-Li-N,-0.033761286
Li3 Fe2 N3,Fe-Li-N,-0.012817033
Li4 Fe2 N3,Fe-Li-N,-0.028439238
Li4 Fe2 N4,Fe-Li-N,0.012574985
Li4 Fe2 N4,Fe-Li-N,-0.020269433
Li6 Fe4 N6,Fe-Li-N,-0.010859429
Sr4 Fe4 N8,Fe-N-Sr,0.033535016
Li7 Fe1 N4,Fe-Li-N,0.005608515
Na4 Ge2 N4,Ge-N-Na,0.023891975
Na4 Ge2 N4,Ge-N-Na,0.016287335
Na4 Ge2 N4,Ge-N-Na,0.015092483
Na4 Ge2 N4,Ge-N-Na,0.022839373
Na2 Ge4 N6,Ge-N-Na,0.00055674
Li2 In2 N2,In-Li-N,-0.015266535
Li6 In2 N2,In-Li-N,0.023992429
Li6 In2 N2,In-Li-N,0.014161612
Li3 In1 N1,In-Li-N,0.032025381
Li3 In1 N2,In-Li-N,0.010508645
Li4 Ir2 N2,Ir-Li-N,-0.101667491
Na4 Ir2 N2,Ir-N-Na,-0.101949383
Na8 Ir4 N4,Ir-N-Na,-0.103363916
Li2 Ir1 N1,Ir-Li-N,-0.120026353
K1 Nb7 N7,K-N-Nb,0.316721654
K1 Re6 N8,K-N-Re,0.208323374
Li10 Os2 N4,Li-N-Os,0.066846464
Li10 Os2 N8,Li-N-Os,-0.000695878
Li2 Ru2 N2,Li-N-Ru,-0.012861703
Li2 Ru2 N2,Li-N-Ru,0.043424788
Li2 Y2 N2,Li-N-Y,0.065008736
Li2 Y4 N2,Li-N-Y,0.095678288
Li2 Y4 N3,Li-N-Y,0.066997206
Li2 Si4 N6,Li-N-Si,0.000438539
Li3 Y1 N2,Li-N-Y,0.060554236
Li4 Sb2 N2,Li-N-Sb,0.063206277
Li4 Os1 N4,Li-N-Os,-0.002321239
Li4 Si2 N4,Li-N-Si,-0.000611982
Li4 Ru1 N1,Li-N-Ru,0.016482861
Li5 Sn1 N3,Li-N-Sn,-0.069429929
Li6 Ru2 N4,Li-N-Ru,0.02924038
Li6 Y2 N4,Li-N-Y,0.027214604
Li7 Os1 N4,Li-N-Os,0.039422425
Li7 Os1 N4,Li-N-Os,0.030906388
Li7 Sb1 N4,Li-N-Sb,0.026578169
Li8 Sb2 N6,Li-N-Sb,0.022986731
Li8 Os2 N8,Li-N-Os,-0.012429943
Li8 Os2 N8,Li-N-Os,-0.015895334
Li8 Si4 N8,Li-N-Si,0.015452925
Li9 Y3 N6,Li-N-Y,0.059007992
