formula,chemsys,ehull
Sr6 Al6 N10,Al-N-Sr,0
Sr6 Al2 N6,Al-N-Sr,0.040797378
Y4 Al2 N6,Al-N-Y,0.167990058
Y8 Al4 N12,Al-N-Y,0.178839227
Y2 Al4 N6,Al-N-Y,0.094308728
Y4 Al4 N8,Al-N-Y,0.195587504
Y2 Al2 N4,Al-N-Y,0.245852931
Y16 Al16 N32,Al-N-Y,0.256929456
Al4 Zn6 N8,Al-N-Zn,0.165518527
B4 C6 N12,B-C-N,0.302568042
B2 C3 N6,B-C-N,0.17331523
B2 C3 N6,B-C-N,0.409347079
B2 C3 N6,B-C-N,0.186329454
B4 C6 N12,B-C-N,0.195504237
B4 C6 N12,B-C-N,0.179087262
B2 C1 N1,B-C-N,0.343126868
B2 C1 N1,B-C-N,0.34940461
B2 C1 N1,B-C-N,0.323409623
B4 C2 N2,B-C-N,0.236962315
Sr6 B4 N8,B-N-Sr,0.156173646
Sr6 B6 N10,B-N-Sr,0.106592589
Sr6 B2 N6,B-N-Sr,0.087476517
Ba2 Co4 N4,Ba-Co-N,0
Ba2 Co1 N2,Ba-Co-N,0.053069074
Ba12 Co8 N16,Ba-Co-N,0.229589196
Ba6 Co4 N8,Ba-Co-N,0.276879239
Ba6 Co6 N10,Ba-Co-N,0.136069053
Ba6 Co2 N6,Ba-Co-N,0.035479489
Ba8 Co2 N8,Ba-Co-N,0.158741865
Ba4 Co4 N8,Ba-Co-N,0.167509696
Ba6 Ga2 N6,Ba-Ga-N,0
Ba8 Ir4 N12,Ba-Ir-N,0.223000045
Ba6 Ir4 N8,Ba-Ir-N,0.352688876
Ba12 Ir8 N16,Ba-Ir-N,0.299320686
Ba6 Ir6 N10,Ba-Ir-N,0.209259298
Ba6 Ir2 N6,Ba-Ir-N,0
Ba16 Ir12 N28,Ba-Ir-N,0.2996381
Ba8 Ir2 N8,Ba-Ir-N,0.161316976
Ba4 Ir4 N8,Ba-Ir-N,0.284034681
K1 Ba1 N1,Ba-K-N,0.322065192
K4 Ba4 N12,Ba-K-N,1.848399938
Ba2 Mg1 N2,Ba-Mg-N,0.191847911
Ba2 Mg4 N4,Ba-Mg-N,0.205431706
Ba1 Mg2 N2,Ba-Mg-N,0.090243848
Ba1 Mn2 N2,Ba-Mn-N,0.31290735
Ba2 Mn4 N4,Ba-Mn-N,0.29566658
Ba12 Mn24 N48,Ba-Mn-N,0.025164465
Ba2 Mn1 N2,Ba-Mn-N,0.207584092
Ba12 Mn8 N16,Ba-Mn-N,0.13772895
Ba6 Mn4 N8,Ba-Mn-N,0.218321024
Ba6 Mn6 N10,Ba-Mn-N,0.117739943
Ba8 Mn2 N8,Ba-Mn-N,0.081061054
Ba32 Mn12 N36,Ba-Mn-N,0.012131307
Ba8 Mn3 N8,Ba-Mn-N,0.06004163
Ba4 Mn4 N8,Ba-Mn-N,0
Ba12 Mo24 N48,Ba-Mo-N,0.075912233
Ba8 Mo4 N12,Ba-Mo-N,0.013990282
Ba12 Mo8 N16,Ba-Mo-N,0.188498995
Ba6 Mo4 N8,Ba-Mo-N,0.325858313
Ba6 Mo6 N10,Ba-Mo-N,0.205599131
Ba6 Mo2 N6,Ba-Mo-N,0.024933742
Ba12 Nb24 N48,Ba-N-Nb,0.04257387
Ba6 Nb4 N8,Ba-N-Nb,0.134224956
Ba12 Nb8 N16,Ba-N-Nb,0.168086604
Ba6 Nb6 N10,Ba-N-Nb,0.179401031
Ba6 Nb2 N6,Ba-N-Nb,0.135860212
Ba12 Os24 N48,Ba-N-Os,0.197169423
Ba6 Os4 N8,Ba-N-Os,0.345921874
Ba12 Os8 N16,Ba-N-Os,0.257461258
Ba6 Os6 N10,Ba-N-Os,0.219705796
Ba6 Os2 N6,Ba-N-Os,0
Ba4 Os4 N8,Ba-N-Os,0.175627275
Ba2 Pd1 N2,Ba-N-Pd,0.23341925
Ba12 Re24 N48,Ba-N-Re,0.089019039
Ba8 Re4 N12,Ba-N-Re,0.090167396
Ba6 Re2 N6,Ba-N-Re,0
Ba2 Ru4 N4,Ba-N-Ru,0.303529908
Ba12 Ru24 N48,Ba-N-Ru,0.172336062
Ba2 Ru1 N2,Ba-N-Ru,0.061859211
Ba8 Ru4 N12,Ba-N-Ru,0.09908874
Ba6 Ru4 N8,Ba-N-Ru,0.244592015
Ba12 Ru8 N16,Ba-N-Ru,0.190858327
Ba6 Ru6 N10,Ba-N-Ru,0.151296754
