formula,chemsys,ehull
Al8 Ir4 O20,Al-Ir-O,0.1468007718749984
Al4 Ru2 O10,Al-Ru-O,0.1433207706249977
Al8 Ru4 O20,Al-Ru-O,0.17129513999999713
Al2 Rh2 O6,Al-Rh-O,0.020424853749999805
Al4 Rh4 O12,Al-Rh-O,0.04212144325000011
Be4 Ag8 O8,Ag-Be-O,0.12187572100000121
Be2 Ag4 O4,Ag-Be-O,0.15434105100000206
Be4 Ag8 O8,Ag-Be-O,0.1189856485000016
Be3 Hg3 O6,Be-Hg-O,0.13587829229166726
Be4 Hg4 O8,Be-Hg-O,0.15822053687500048
Be3 Hg3 O6,Be-Hg-O,0.15083094229166694
Be3 Hg3 O6,Be-Hg-O,0.1000624614583332
Be3 Hg3 O6,Be-Hg-O,0.19113697062500012
Be2 Ir2 O6,Be-Ir-O,0.1970228319999956
Be4 Ir4 O12,Be-Ir-O,0.17147134549999432
Be2 Ir2 O6,Be-Ir-O,0.17558523099999412
Be4 Ir4 O12,Be-Ir-O,0.17175150899999547
Be4 Mo4 O12,Be-Mo-O,0.3525898384999966
Be2 Mo2 O6,Be-Mo-O,0.3526257059999969
Be4 Mo4 O12,Be-Mo-O,0.27424541449999573
Be4 Mo4 O12,Be-Mo-O,0.32505826249999714
Be4 Pb4 O8,Be-Pb-O,0.07944913914062468
Be4 Pb4 O8,Be-Pb-O,0.10608797726562447
Be4 Pb4 O8,Be-Pb-O,0.07914267414062515
Be4 Pb4 O8,Be-Pb-O,0.09760418289062489
Be4 Pb4 O8,Be-Pb-O,0.08473062164062473
Cd2 Au4 O8,Au-Cd-O,-0.10759651785714386
Cd4 Au8 O16,Au-Cd-O,-0.10082896107142858
Cd3 Au6 O12,Au-Cd-O,-0.04536493238095307
Cd4 Au8 O16,Au-Cd-O,-0.0954838932142863
Cd2 Au4 O8,Au-Cd-O,-0.09017661142857225
Cd4 Ir4 O12,Cd-Ir-O,0.09162456549999654
Cd3 Ir3 O9,Cd-Ir-O,0.09891015633332945
Cd2 Ir2 O6,Cd-Ir-O,0.10203879399999671
Cd2 Ir2 O6,Cd-Ir-O,0.1248375739999954
Cd4 Ir4 O12,Cd-Ir-O,0.10673422149999645
Cs2 Ba1 O2,Ba-Cs-O,0.011990926000001956
Cs2 Ba1 O2,Ba-Cs-O,0.012216834000001953
Cs6 Ba3 O6,Ba-Cs-O,0.05087547533333403
Cs8 Be4 O8,Be-Cs-O,-0.018030054500000503
Cs8 Be4 O8,Be-Cs-O,-0.01880915700000063
Cs8 Be4 O8,Be-Cs-O,-0.01842152250000062
Cs8 Be4 O8,Be-Cs-O,-0.018244999000000206
Cs8 Be4 O8,Be-Cs-O,-0.019328895500000165
Cs8 Hf4 O12,Cs-Hf-O,-0.00042456833333126553
Cs8 Hf4 O12,Cs-Hf-O,0.0005406745833358428
