formula,chemsys,ehull
Ag2 Au2 O4,Ag-Au-O,0.010477933749999835
Ca2 Ag2 O4,Ag-Ca-O,0.0040574050000001805
Ag2 Au2 O6,Ag-Au-O,0.0034368368333321797
Ca2 Ag2 O4,Ag-Ca-O,0.0018932275000000942
Ca3 Ag2 O6,Ag-Ca-O,0.039075157727268994
La2 Ag2 O4,Ag-La-O,0.003183027500000435
La2 Ag2 O6,Ag-La-O,0.0
La4 Ag2 O2,Ag-La-O,0.0
Y2 Ag2 O4,Ag-Y-O,0.003017048749999418
Y2 Ag2 O6,Ag-Y-O,0.0
Ag3 Au1 O4,Ag-Au-O,0.0
Ag3 Au1 O4,Ag-Au-O,0.004740640000000518
Ag3 Au1 O4,Ag-Au-O,0.00296350125
Ca1 Ag3 O4,Ag-Ca-O,0.020878914375004776
La4 Ag3 O4,Ag-La-O,0.003998669040404579
Zn1 Ag3 O5,Ag-Zn-O,0.03264825277777739
Y1 Ag3 O6,Ag-Y-O,0.005936666833334492
Ag4 Au2 O6,Ag-Au-O,0.014522895416667403
Ag4 Au2 O6,Ag-Au-O,0.016711026250001204
Ca2 Ag4 O6,Ag-Ca-O,0.030368367500003046
Ca6 Ag4 O10,Ag-Ca-O,0.030472503499999526
Ag5 Au3 O8,Ag-Au-O,0.006597023750000375
Ag5 Au1 O6,Ag-Au-O,0.005895403333332716
Ag5 Au1 O6,Ag-Au-O,0.009994694166667095
Ca2 Ag5 O6,Ag-Ca-O,0.013970702307693372
Ca3 Ag5 O7,Ag-Ca-O,0.03275748799999967
Zn1 Ag5 O6,Ag-Zn-O,0.06033431208333084
Zn1 Ag5 O6,Ag-Zn-O,0.05955596291666421
Ag6 Au2 O8,Ag-Au-O,0.005108723750000266
Zn1 Ag6 O6,Ag-Zn-O,0.04216850730769295
Zn1 Ag7 O6,Ag-Zn-O,0.05565428035714426
Zn1 Ag7 O6,Ag-Zn-O,0.03869181178571601
