formula,chemsys,ehull
Ag2 Au2 O4,Ag-Au-O,0.010477933749999835
Ca2 Ag2 O4,Ag-Ca-O,0.0040574050000001805
Ag2 Au2 O6,Ag-Au-O,0.0034368368333321797
Ca2 Ag2 O4,Ag-Ca-O,0.0018932275000000942
Ca3 Ag2 O6,Ag-Ca-O,0.03907515772727255
La2 Ag2 O4,Ag-La-O,0.0031830274999880004
La2 Ag2 O6,Ag-La-O,-0.09579147654166587
La4 Ag2 O2,Ag-La-O,-0.012727881145833564
Y2 Ag2 O4,Ag-Y-O,0.003017048749999418
Y2 Ag2 O6,Ag-Y-O,-0.02894998329166576
Ag3 Au1 O4,Ag-Au-O,-0.00193991812500105
Ag3 Au1 O4,Ag-Au-O,0.002800721874999468
Ag3 Au1 O4,Ag-Au-O,0.0010235831249989502
Ca1 Ag3 O4,Ag-Ca-O,0.020878914375004776
La4 Ag3 O4,Ag-La-O,0.003998669040404579
Zn1 Ag3 O5,Ag-Zn-O,0.03264825277777739
Y1 Ag3 O6,Ag-Y-O,-0.008538324812499276
Ag4 Au2 O6,Ag-Au-O,0.013229616666664334
Ag4 Au2 O6,Ag-Au-O,0.015417747499998136
Ca2 Ag4 O6,Ag-Ca-O,0.030368367500003046
Ca6 Ag4 O10,Ag-Ca-O,0.030472503499999526
Ag5 Au3 O8,Ag-Au-O,0.005627064687500294
Ag5 Au1 O6,Ag-Au-O,0.004602124583332312
Ag5 Au1 O6,Ag-Au-O,0.008701415416666691
Ca2 Ag5 O6,Ag-Ca-O,0.013970702307693372
Ca3 Ag5 O7,Ag-Ca-O,0.03275748799999967
Zn1 Ag5 O6,Ag-Zn-O,0.06033431208333084
Zn1 Ag5 O6,Ag-Zn-O,0.05955596291666421
Ag6 Au2 O8,Ag-Au-O,0.003168805624999216
Zn1 Ag6 O6,Ag-Zn-O,0.04216850730769295
Zn1 Ag7 O6,Ag-Zn-O,0.05565428035714426
Zn1 Ag7 O6,Ag-Zn-O,0.03869181178571601
