formula,chemsys,ehull
Ag2 Au2 O4,Ag-Au-O,0.005843586249999255
La2 Ag2 O4,Ag-La-O,0.0017230324999877311
Be2 Ag4 O4,Ag-Be-O,0.06837642200000182
Ca4 Ag8 O8,Ag-Ca-O,0.022132250666670572
Hf4 Ag8 O12,Ag-Hf-O,0.028824342916665913
Ag8 Ir4 O12,Ag-Ir-O,0.035102024583332
Mg4 Ag8 O8,Ag-Mg-O,0.03139498100000182
Zn4 Ag8 O8,Ag-Zn-O,0.025233486000001193
Zr4 Ag8 O12,Ag-Zr-O,0.034471304583333584
Al4 Os4 O16,Al-Os-O,0.009213820208334056
Al1 Rh1 O3,Al-Rh-O,0.02110272075000008
Al4 Ru4 O16,Al-Ru-O,0.029100550989583418
Al8 Ir4 O20,Al-Ir-O,0.0433348784374985
Al2 Os1 O5,Al-Os-O,0.05376978187499937
Al4 Pd2 O8,Al-Pd-O,0.08445280142857214
Al4 Pt2 O10,Al-Pt-O,0.04453154749999921
Al8 Ru4 O20,Al-Ru-O,0.044418304687497745
Ir8 Au4 O8,Au-Ir-O,0.26060331999999864
Nb2 Au2 O8,Au-Nb-O,-0.017100791845231278
Os8 Au4 O8,Au-Os-O,0.21459885099999987
Pt8 Au4 O8,Au-Pt-O,0.032852784000000135
Re4 Au4 O20,Au-Re-O,0.017860475446425994
Rh4 Au4 O8,Au-Rh-O,0.09517043062500008
Rh2 Au2 O6,Au-Rh-O,0.03452131133333136
Ru8 Au4 O8,Au-Ru-O,0.29053890899999857
Ta2 Au2 O8,Au-Ta-O,-0.016960953749993735
Tl4 Au4 O8,Au-Tl-O,0.04769359833333375
Tl2 Au2 O6,Au-Tl-O,-0.04136953450000025
Be2 Au4 O8,Au-Be-O,-0.014173435714285532
Cd4 Au8 O16,Au-Cd-O,-0.08918200714285796
Hf2 Au4 O10,Au-Hf-O,0.03528260218750123
Hg2 Au4 O8,Au-Hg-O,-0.06081167107142882
Ir4 Au8 O20,Au-Ir-O,0.08582225406250199
Mg2 Au4 O8,Au-Mg-O,-0.06424881357142898
Mo4 Au8 O16,Au-Mo-O,0.034916044702383964
Mo2 Au4 O10,Au-Mo-O,0.06771885432291835
Os4 Au8 O20,Au-Os-O,0.059863489895831457
Pb4 Au8 O16,Au-Pb-O,-0.05482195202381046
